scenario_id,scenario_name,trial_id,seed,detected,mttd_sec,mitigated,mttm_sec,msr_percent,applied_loc_pref,applied_community,rib_verified,rollback_verified,failure_code,action_desc,min_trust_score
S6,Cloudflare / Verizon Route Leak (2019),T08,2874,False,,True,0.405,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.69
S6,Cloudflare / Verizon Route Leak (2019),T09,2905,False,,True,0.592,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S6,Cloudflare / Verizon Route Leak (2019),T10,2936,False,,True,0.41,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.68
S6,Cloudflare / Verizon Route Leak (2019),T11,2967,False,,True,0.422,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.68
S6,Cloudflare / Verizon Route Leak (2019),T12,2998,False,,True,0.402,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.69
S6,Cloudflare / Verizon Route Leak (2019),T13,3029,False,,True,0.586,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S6,Cloudflare / Verizon Route Leak (2019),T14,3060,False,,True,0.401,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S6,Cloudflare / Verizon Route Leak (2019),T15,3091,False,,True,0.596,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S6,Cloudflare / Verizon Route Leak (2019),T16,3122,False,,True,0.414,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S6,Cloudflare / Verizon Route Leak (2019),T17,3153,False,,True,0.42,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.68
S6,Cloudflare / Verizon Route Leak (2019),T18,3184,False,,True,0.607,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S6,Cloudflare / Verizon Route Leak (2019),T19,3215,False,,True,0.405,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
S6,Cloudflare / Verizon Route Leak (2019),T20,3246,False,,True,0.598,0.0,80,,True,False,F1 (Anomaly Not Visible in Ingress Telemetry),Soft Deprioritization (LocalPref 80),0.67
